Rank	Club	Country	Level	Elo	From	To	HistTeam
	Wolves	ENG	1	1551.14025879	1946-07-07	1946-08-31	Wolverhampton Wanderers
	Wolves	ENG	1	1562.71057129	1946-09-01	1946-09-03	Wolverhampton Wanderers
	Wolves	ENG	1	1564.9954834	1946-09-04	1946-09-07	Wolverhampton Wanderers
	Wolves	ENG	1	1557.81469727	1946-09-08	1946-09-11	Wolverhampton Wanderers
	Wolves	ENG	1	1547.14086914	1946-09-12	1946-09-14	Wolverhampton Wanderers
	Wolves	ENG	1	1537.2355957	1946-09-15	1946-09-16	Wolverhampton Wanderers
	Wolves	ENG	1	1528.00646973	1946-09-17	1946-09-21	Wolverhampton Wanderers
	Wolves	ENG	1	1539.30773926	1946-09-22	1946-09-23	Wolverhampton Wanderers
	Wolves	ENG	1	1547.015625	1946-09-24	1946-09-28	Wolverhampton Wanderers
	Wolves	ENG	1	1554.09082031	1946-09-29	1946-09-29	Wolverhampton Wanderers
	Wolves	ENG	1	1571.09082031	1946-09-30	1946-10-03	Wolverhampton Wanderers
	Wolves	ENG	1	1577.09082031	1946-10-04	1946-10-05	Wolverhampton Wanderers
	Wolves	ENG	1	1591.1484375	1946-10-06	1946-10-12	Wolverhampton Wanderers
	Wolves	ENG	1	1600.31958008	1946-10-13	1946-10-19	Wolverhampton Wanderers
	Wolves	ENG	1	1604.55090332	1946-10-20	1946-10-26	Wolverhampton Wanderers
	Wolves	ENG	1	1621.48327637	1946-10-27	1946-11-02	Wolverhampton Wanderers
	Wolves	ENG	1	1606.81884766	1946-11-03	1946-11-09	Wolverhampton Wanderers
	Wolves	ENG	1	1622.89880371	1946-11-10	1946-11-16	Wolverhampton Wanderers
	Wolves	ENG	1	1645.4732666	1946-11-17	1946-11-23	Wolverhampton Wanderers
	Wolves	ENG	1	1646.42919922	1946-11-24	1946-11-30	Wolverhampton Wanderers
	Wolves	ENG	1	1655.30529785	1946-12-01	1946-12-07	Wolverhampton Wanderers
	Wolves	ENG	1	1675.58154297	1946-12-08	1946-12-14	Wolverhampton Wanderers
	Wolves	ENG	1	1683.69775391	1946-12-15	1946-12-21	Wolverhampton Wanderers
	Wolves	ENG	1	1691.04223633	1946-12-22	1946-12-25	Wolverhampton Wanderers
	Wolves	ENG	1	1698.51916504	1946-12-26	1946-12-26	Wolverhampton Wanderers
	Wolves	ENG	1	1701.73571777	1946-12-27	1946-12-28	Wolverhampton Wanderers
	Wolves	ENG	1	1700.70812988	1946-12-29	1947-01-04	Wolverhampton Wanderers
	Wolves	ENG	1	1705.64196777	1947-01-05	1947-01-18	Wolverhampton Wanderers
	Wolves	ENG	1	1688.34790039	1947-01-19	1947-02-22	Wolverhampton Wanderers
	Wolves	ENG	1	1694.14025879	1947-02-23	1947-03-01	Wolverhampton Wanderers
	Wolves	ENG	1	1701.83203125	1947-03-02	1947-03-08	Wolverhampton Wanderers
	Wolves	ENG	1	1702.7479248	1947-03-09	1947-03-15	Wolverhampton Wanderers
	Wolves	ENG	1	1705.86181641	1947-03-16	1947-03-22	Wolverhampton Wanderers
	Wolves	ENG	1	1695.74499512	1947-03-23	1947-03-29	Wolverhampton Wanderers
	Wolves	ENG	1	1701.92028809	1947-03-30	1947-04-05	Wolverhampton Wanderers
	Wolves	ENG	1	1692.62927246	1947-04-06	1947-04-07	Wolverhampton Wanderers
	Wolves	ENG	1	1684.69580078	1947-04-08	1947-04-08	Wolverhampton Wanderers
	Wolves	ENG	1	1692.02478027	1947-04-09	1947-04-13	Wolverhampton Wanderers
	Wolves	ENG	1	1682.02478027	1947-04-14	1947-04-19	Wolverhampton Wanderers
	Wolves	ENG	1	1694.14465332	1947-04-20	1947-04-26	Wolverhampton Wanderers
	Wolves	ENG	1	1698.20776367	1947-04-27	1947-05-03	Wolverhampton Wanderers
	Wolves	ENG	1	1698.27380371	1947-05-04	1947-05-04	Wolverhampton Wanderers
	Wolves	ENG	1	1702.27380371	1947-05-05	1947-05-10	Wolverhampton Wanderers
	Wolves	ENG	1	1689.53540039	1947-05-11	1947-05-17	Wolverhampton Wanderers
	Wolves	ENG	1	1683.56054688	1947-05-18	1947-05-20	Wolverhampton Wanderers
	Wolves	ENG	1	1670.56054688	1947-05-21	1947-05-26	Wolverhampton Wanderers
	Wolves	ENG	1	1694.45117188	1947-05-27	1947-05-31	Wolverhampton Wanderers
	Wolves	ENG	1	1684.19262695	1947-06-01	1947-08-23	Wolverhampton Wanderers
	Wolves	ENG	1	1674.10705566	1947-08-24	1947-08-27	Wolverhampton Wanderers
	Wolves	ENG	1	1681.82861328	1947-08-28	1947-08-30	Wolverhampton Wanderers
	Wolves	ENG	1	1687.26599121	1947-08-31	1947-09-03	Wolverhampton Wanderers
	Wolves	ENG	1	1700.17028809	1947-09-04	1947-09-06	Wolverhampton Wanderers
	Wolves	ENG	1	1700.71728516	1947-09-07	1947-09-10	Wolverhampton Wanderers
	Wolves	ENG	1	1682.06384277	1947-09-11	1947-09-13	Wolverhampton Wanderers
	Wolves	ENG	1	1685.22705078	1947-09-14	1947-09-20	Wolverhampton Wanderers
	Wolves	ENG	1	1692.0736084	1947-09-21	1947-09-27	Wolverhampton Wanderers
	Wolves	ENG	1	1698.70019531	1947-09-28	1947-10-04	Wolverhampton Wanderers
	Wolves	ENG	1	1698.52111816	1947-10-05	1947-10-11	Wolverhampton Wanderers
	Wolves	ENG	1	1680.78466797	1947-10-12	1947-10-18	Wolverhampton Wanderers
	Wolves	ENG	1	1678.06115723	1947-10-19	1947-10-19	Wolverhampton Wanderers
	Wolves	ENG	1	1706.06115723	1947-10-20	1947-10-25	Wolverhampton Wanderers
	Wolves	ENG	1	1707.3482666	1947-10-26	1947-11-01	Wolverhampton Wanderers
	Wolves	ENG	1	1685.94677734	1947-11-02	1947-11-08	Wolverhampton Wanderers
	Wolves	ENG	1	1669.7277832	1947-11-09	1947-11-15	Wolverhampton Wanderers
	Wolves	ENG	1	1675.31530762	1947-11-16	1947-11-22	Wolverhampton Wanderers
	Wolves	ENG	1	1694.48583984	1947-11-23	1947-11-29	Wolverhampton Wanderers
	Wolves	ENG	1	1682.25415039	1947-11-30	1947-12-06	Wolverhampton Wanderers
	Wolves	ENG	1	1673.56066895	1947-12-07	1947-12-13	Wolverhampton Wanderers
	Wolves	ENG	1	1662.6953125	1947-12-14	1947-12-20	Wolverhampton Wanderers
	Wolves	ENG	1	1666.3293457	1947-12-21	1947-12-26	Wolverhampton Wanderers
	Wolves	ENG	1	1675.99023438	1947-12-27	1947-12-27	Wolverhampton Wanderers
	Wolves	ENG	1	1683.58288574	1947-12-28	1948-01-01	Wolverhampton Wanderers
	Wolves	ENG	1	1695.86181641	1948-01-02	1948-01-03	Wolverhampton Wanderers
	Wolves	ENG	1	1686.22460938	1948-01-04	1948-01-17	Wolverhampton Wanderers
	Wolves	ENG	1	1682.41784668	1948-01-18	1948-02-07	Wolverhampton Wanderers
	Wolves	ENG	1	1685.8059082	1948-02-08	1948-02-14	Wolverhampton Wanderers
	Wolves	ENG	1	1684.37768555	1948-02-15	1948-02-21	Wolverhampton Wanderers
	Wolves	ENG	1	1666.86950684	1948-02-22	1948-02-28	Wolverhampton Wanderers
	Wolves	ENG	1	1671.64587402	1948-02-29	1948-03-06	Wolverhampton Wanderers
	Wolves	ENG	1	1664.76318359	1948-03-07	1948-03-13	Wolverhampton Wanderers
	Wolves	ENG	1	1661.58361816	1948-03-14	1948-03-20	Wolverhampton Wanderers
	Wolves	ENG	1	1657.93115234	1948-03-21	1948-03-26	Wolverhampton Wanderers
	Wolves	ENG	1	1650.1784668	1948-03-27	1948-03-27	Wolverhampton Wanderers
	Wolves	ENG	1	1647.47290039	1948-03-28	1948-03-29	Wolverhampton Wanderers
	Wolves	ENG	1	1651.01757812	1948-03-30	1948-04-03	Wolverhampton Wanderers
	Wolves	ENG	1	1643.51501465	1948-04-04	1948-04-10	Wolverhampton Wanderers
	Wolves	ENG	1	1650.40087891	1948-04-11	1948-04-11	Wolverhampton Wanderers
	Wolves	ENG	1	1673.40087891	1948-04-12	1948-04-14	Wolverhampton Wanderers
	Wolves	ENG	1	1682.59484863	1948-04-15	1948-04-17	Wolverhampton Wanderers
	Wolves	ENG	1	1691.72277832	1948-04-18	1948-04-24	Wolverhampton Wanderers
	Wolves	ENG	1	1695.67456055	1948-04-25	1948-05-01	Wolverhampton Wanderers
	Wolves	ENG	1	1689.75854492	1948-05-02	1948-05-17	Wolverhampton Wanderers
	Wolves	ENG	1	1716.75854492	1948-05-18	1948-08-21	Wolverhampton Wanderers
	Wolves	ENG	1	1711.70825195	1948-08-22	1948-08-25	Wolverhampton Wanderers
	Wolves	ENG	1	1700.53149414	1948-08-26	1948-08-28	Wolverhampton Wanderers
	Wolves	ENG	1	1719.56140137	1948-08-29	1948-09-01	Wolverhampton Wanderers
	Wolves	ENG	1	1720.05810547	1948-09-02	1948-09-04	Wolverhampton Wanderers
	Wolves	ENG	1	1717.88427734	1948-09-05	1948-09-08	Wolverhampton Wanderers
	Wolves	ENG	1	1725.00854492	1948-09-09	1948-09-11	Wolverhampton Wanderers
	Wolves	ENG	1	1737.84436035	1948-09-12	1948-09-15	Wolverhampton Wanderers
	Wolves	ENG	1	1731.3939209	1948-09-16	1948-09-18	Wolverhampton Wanderers
	Wolves	ENG	1	1729.1072998	1948-09-19	1948-09-25	Wolverhampton Wanderers
	Wolves	ENG	1	1722.43164062	1948-09-26	1948-10-02	Wolverhampton Wanderers
	Wolves	ENG	1	1725.39929199	1948-10-03	1948-10-09	Wolverhampton Wanderers
	Wolves	ENG	1	1702.5526123	1948-10-10	1948-10-10	Wolverhampton Wanderers
	Wolves	ENG	1	1715.5526123	1948-10-11	1948-10-16	Wolverhampton Wanderers
	Wolves	ENG	1	1704.74902344	1948-10-17	1948-10-23	Wolverhampton Wanderers
	Wolves	ENG	1	1717.22570801	1948-10-24	1948-10-30	Wolverhampton Wanderers
	Wolves	ENG	1	1718.62756348	1948-10-31	1948-11-06	Wolverhampton Wanderers
	Wolves	ENG	1	1725.26452637	1948-11-07	1948-11-11	Wolverhampton Wanderers
	Wolves	ENG	1	1729.26452637	1948-11-12	1948-11-13	Wolverhampton Wanderers
	Wolves	ENG	1	1723.70739746	1948-11-14	1948-11-20	Wolverhampton Wanderers
	Wolves	ENG	1	1730.60400391	1948-11-21	1948-11-27	Wolverhampton Wanderers
	Wolves	ENG	1	1730.11254883	1948-11-28	1948-12-04	Wolverhampton Wanderers
	Wolves	ENG	1	1736.02124023	1948-12-05	1948-12-11	Wolverhampton Wanderers
	Wolves	ENG	1	1722.78234863	1948-12-12	1948-12-18	Wolverhampton Wanderers
	Wolves	ENG	1	1731.73193359	1948-12-19	1948-12-25	Wolverhampton Wanderers
	Wolves	ENG	1	1737.55285645	1948-12-26	1948-12-27	Wolverhampton Wanderers
	Wolves	ENG	1	1721.87365723	1948-12-28	1949-01-01	Wolverhampton Wanderers
	Wolves	ENG	1	1727.83349609	1949-01-02	1949-01-22	Wolverhampton Wanderers
	Wolves	ENG	1	1731.74475098	1949-01-23	1949-02-05	Wolverhampton Wanderers
	Wolves	ENG	1	1727.15795898	1949-02-06	1949-02-19	Wolverhampton Wanderers
	Wolves	ENG	1	1713.6496582	1949-02-20	1949-03-05	Wolverhampton Wanderers
	Wolves	ENG	1	1714.18884277	1949-03-06	1949-03-12	Wolverhampton Wanderers
	Wolves	ENG	1	1721.86071777	1949-03-13	1949-03-19	Wolverhampton Wanderers
	Wolves	ENG	1	1723.76330566	1949-03-20	1949-04-06	Wolverhampton Wanderers
	Wolves	ENG	1	1726.98278809	1949-04-07	1949-04-09	Wolverhampton Wanderers
	Wolves	ENG	1	1732.45227051	1949-04-10	1949-04-10	Wolverhampton Wanderers
	Wolves	ENG	1	1679.45227051	1949-04-11	1949-04-13	Wolverhampton Wanderers
	Wolves	ENG	1	1689.12133789	1949-04-14	1949-04-16	Wolverhampton Wanderers
	Wolves	ENG	1	1681.55358887	1949-04-17	1949-04-18	Wolverhampton Wanderers
	Wolves	ENG	1	1682.66918945	1949-04-19	1949-04-19	Wolverhampton Wanderers
	Wolves	ENG	1	1690.45324707	1949-04-20	1949-04-23	Wolverhampton Wanderers
	Wolves	ENG	1	1686.11242676	1949-04-24	1949-05-02	Wolverhampton Wanderers
	Wolves	ENG	1	1688.94030762	1949-05-03	1949-05-04	Wolverhampton Wanderers
	Wolves	ENG	1	1681.65148926	1949-05-05	1949-05-05	Wolverhampton Wanderers
	Wolves	ENG	1	1664.23706055	1949-05-06	1949-05-07	Wolverhampton Wanderers
	Wolves	ENG	1	1659.57678223	1949-05-08	1949-05-14	Wolverhampton Wanderers
	Wolves	ENG	1	1648.57678223	1949-05-15	1949-05-20	Wolverhampton Wanderers
	Wolves	ENG	1	1654.57678223	1949-05-21	1949-05-25	Wolverhampton Wanderers
	Wolves	ENG	1	1662.57678223	1949-05-26	1949-08-20	Wolverhampton Wanderers
	Wolves	ENG	1	1670.03491211	1949-08-21	1949-08-24	Wolverhampton Wanderers
	Wolves	ENG	1	1678.31921387	1949-08-25	1949-08-27	Wolverhampton Wanderers
	Wolves	ENG	1	1682.36877441	1949-08-28	1949-08-29	Wolverhampton Wanderers
	Wolves	ENG	1	1685.72424316	1949-08-30	1949-09-03	Wolverhampton Wanderers
	Wolves	ENG	1	1694.10913086	1949-09-04	1949-09-10	Wolverhampton Wanderers
	Wolves	ENG	1	1698.01318359	1949-09-11	1949-09-14	Wolverhampton Wanderers
	Wolves	ENG	1	1696.83203125	1949-09-15	1949-09-17	Wolverhampton Wanderers
	Wolves	ENG	1	1704.72924805	1949-09-18	1949-09-22	Wolverhampton Wanderers
	Wolves	ENG	1	1676.72924805	1949-09-23	1949-09-24	Wolverhampton Wanderers
	Wolves	ENG	1	1682.63146973	1949-09-25	1949-10-01	Wolverhampton Wanderers
	Wolves	ENG	1	1686.20983887	1949-10-02	1949-10-08	Wolverhampton Wanderers
	Wolves	ENG	1	1695.46679688	1949-10-09	1949-10-15	Wolverhampton Wanderers
	Wolves	ENG	1	1689.09265137	1949-10-16	1949-10-16	Wolverhampton Wanderers
	Wolves	ENG	1	1712.09265137	1949-10-17	1949-10-22	Wolverhampton Wanderers
	Wolves	ENG	1	1704.23278809	1949-10-23	1949-10-29	Wolverhampton Wanderers
	Wolves	ENG	1	1699.37524414	1949-10-30	1949-11-05	Wolverhampton Wanderers
	Wolves	ENG	1	1690.54455566	1949-11-06	1949-11-12	Wolverhampton Wanderers
	Wolves	ENG	1	1686.19287109	1949-11-13	1949-11-19	Wolverhampton Wanderers
	Wolves	ENG	1	1681.78674316	1949-11-20	1949-11-26	Wolverhampton Wanderers
	Wolves	ENG	1	1680.2142334	1949-11-27	1949-12-03	Wolverhampton Wanderers
	Wolves	ENG	1	1697.11071777	1949-12-04	1949-12-10	Wolverhampton Wanderers
	Wolves	ENG	1	1692.1126709	1949-12-11	1949-12-17	Wolverhampton Wanderers
	Wolves	ENG	1	1687.05712891	1949-12-18	1949-12-24	Wolverhampton Wanderers
	Wolves	ENG	1	1678.95898438	1949-12-25	1949-12-26	Wolverhampton Wanderers
	Wolves	ENG	1	1667.91992188	1949-12-27	1949-12-27	Wolverhampton Wanderers
	Wolves	ENG	1	1684.68615723	1949-12-28	1949-12-31	Wolverhampton Wanderers
	Wolves	ENG	1	1694.18432617	1950-01-01	1950-01-14	Wolverhampton Wanderers
	Wolves	ENG	1	1684.53637695	1950-01-15	1950-01-21	Wolverhampton Wanderers
	Wolves	ENG	1	1679.22814941	1950-01-22	1950-02-04	Wolverhampton Wanderers
	Wolves	ENG	1	1670.81884766	1950-02-05	1950-02-18	Wolverhampton Wanderers
	Wolves	ENG	1	1677.97875977	1950-02-19	1950-02-25	Wolverhampton Wanderers
	Wolves	ENG	1	1688.17785645	1950-02-26	1950-03-04	Wolverhampton Wanderers
	Wolves	ENG	1	1687.73815918	1950-03-05	1950-03-11	Wolverhampton Wanderers
	Wolves	ENG	1	1674.29125977	1950-03-12	1950-03-18	Wolverhampton Wanderers
	Wolves	ENG	1	1689.45031738	1950-03-19	1950-03-25	Wolverhampton Wanderers
	Wolves	ENG	1	1693.02258301	1950-03-26	1950-04-01	Wolverhampton Wanderers
	Wolves	ENG	1	1702.30114746	1950-04-02	1950-04-08	Wolverhampton Wanderers
	Wolves	ENG	1	1700.2442627	1950-04-09	1950-04-10	Wolverhampton Wanderers
	Wolves	ENG	1	1690.67163086	1950-04-11	1950-04-11	Wolverhampton Wanderers
	Wolves	ENG	1	1695.44946289	1950-04-12	1950-04-15	Wolverhampton Wanderers
	Wolves	ENG	1	1696.18310547	1950-04-16	1950-04-16	Wolverhampton Wanderers
	Wolves	ENG	1	1715.18310547	1950-04-17	1950-04-22	Wolverhampton Wanderers
	Wolves	ENG	1	1724.69433594	1950-04-23	1950-04-29	Wolverhampton Wanderers
	Wolves	ENG	1	1735.52685547	1950-04-30	1950-05-06	Wolverhampton Wanderers
	Wolves	ENG	1	1741.1829834	1950-05-07	1950-05-15	Wolverhampton Wanderers
	Wolves	ENG	1	1747.1829834	1950-05-16	1950-05-20	Wolverhampton Wanderers
	Wolves	ENG	1	1752.1829834	1950-05-21	1950-06-26	Wolverhampton Wanderers
	Wolves	ENG	1	1761.1829834	1950-06-27	1950-06-30	Wolverhampton Wanderers
	Wolves	ENG	1	1705.1829834	1950-07-01	1950-07-03	Wolverhampton Wanderers
	Wolves	ENG	1	1670.1829834	1950-07-04	1950-08-19	Wolverhampton Wanderers
	Wolves	ENG	1	1675.37805176	1950-08-20	1950-08-23	Wolverhampton Wanderers
	Wolves	ENG	1	1683.97277832	1950-08-24	1950-08-26	Wolverhampton Wanderers
	Wolves	ENG	1	1673.44763184	1950-08-27	1950-08-28	Wolverhampton Wanderers
	Wolves	ENG	1	1661.74658203	1950-08-29	1950-09-02	Wolverhampton Wanderers
	Wolves	ENG	1	1667.52160645	1950-09-03	1950-09-06	Wolverhampton Wanderers
	Wolves	ENG	1	1671.66467285	1950-09-07	1950-09-09	Wolverhampton Wanderers
	Wolves	ENG	1	1672.80505371	1950-09-10	1950-09-16	Wolverhampton Wanderers
	Wolves	ENG	1	1675.4284668	1950-09-17	1950-09-23	Wolverhampton Wanderers
	Wolves	ENG	1	1666.95275879	1950-09-24	1950-09-30	Wolverhampton Wanderers
	Wolves	ENG	1	1664.20239258	1950-10-01	1950-10-07	Wolverhampton Wanderers
	Wolves	ENG	1	1653.90795898	1950-10-08	1950-10-08	Wolverhampton Wanderers
	Wolves	ENG	1	1666.90795898	1950-10-09	1950-10-14	Wolverhampton Wanderers
	Wolves	ENG	1	1664.01733398	1950-10-15	1950-10-21	Wolverhampton Wanderers
	Wolves	ENG	1	1666.57519531	1950-10-22	1950-10-28	Wolverhampton Wanderers
	Wolves	ENG	1	1685.41088867	1950-10-29	1950-11-04	Wolverhampton Wanderers
	Wolves	ENG	1	1676.04943848	1950-11-05	1950-11-11	Wolverhampton Wanderers
	Wolves	ENG	1	1666.59655762	1950-11-12	1950-11-18	Wolverhampton Wanderers
	Wolves	ENG	1	1676.92529297	1950-11-19	1950-11-25	Wolverhampton Wanderers
	Wolves	ENG	1	1679.18652344	1950-11-26	1950-12-02	Wolverhampton Wanderers
	Wolves	ENG	1	1683.40148926	1950-12-03	1950-12-09	Wolverhampton Wanderers
	Wolves	ENG	1	1686.82788086	1950-12-10	1950-12-16	Wolverhampton Wanderers
	Wolves	ENG	1	1701.86157227	1950-12-17	1950-12-23	Wolverhampton Wanderers
	Wolves	ENG	1	1695.32580566	1950-12-24	1950-12-25	Wolverhampton Wanderers
	Wolves	ENG	1	1701.55053711	1950-12-26	1950-12-26	Wolverhampton Wanderers
	Wolves	ENG	1	1704.51293945	1950-12-27	1951-01-13	Wolverhampton Wanderers
	Wolves	ENG	1	1699.9901123	1951-01-14	1951-01-20	Wolverhampton Wanderers
	Wolves	ENG	1	1693.45629883	1951-01-21	1951-02-03	Wolverhampton Wanderers
	Wolves	ENG	1	1679.33398438	1951-02-04	1951-02-17	Wolverhampton Wanderers
	Wolves	ENG	1	1673.48742676	1951-02-18	1951-03-03	Wolverhampton Wanderers
	Wolves	ENG	1	1677.31628418	1951-03-04	1951-03-17	Wolverhampton Wanderers
	Wolves	ENG	1	1666.49523926	1951-03-18	1951-03-24	Wolverhampton Wanderers
	Wolves	ENG	1	1660.51379395	1951-03-25	1951-03-26	Wolverhampton Wanderers
	Wolves	ENG	1	1647.51879883	1951-03-27	1951-03-27	Wolverhampton Wanderers
	Wolves	ENG	1	1640.23510742	1951-03-28	1951-03-31	Wolverhampton Wanderers
	Wolves	ENG	1	1629.07922363	1951-04-01	1951-04-07	Wolverhampton Wanderers
	Wolves	ENG	1	1629.03588867	1951-04-08	1951-04-11	Wolverhampton Wanderers
	Wolves	ENG	1	1639.51452637	1951-04-12	1951-04-14	Wolverhampton Wanderers
	Wolves	ENG	1	1628.05383301	1951-04-15	1951-04-15	Wolverhampton Wanderers
	Wolves	ENG	1	1599.05383301	1951-04-16	1951-04-21	Wolverhampton Wanderers
	Wolves	ENG	1	1591.9543457	1951-04-22	1951-04-25	Wolverhampton Wanderers
	Wolves	ENG	1	1584.01269531	1951-04-26	1951-04-28	Wolverhampton Wanderers
	Wolves	ENG	1	1578.47094727	1951-04-29	1951-05-02	Wolverhampton Wanderers
	Wolves	ENG	1	1569.18811035	1951-05-03	1951-05-05	Wolverhampton Wanderers
	Wolves	ENG	1	1572.20019531	1951-05-06	1951-05-10	Wolverhampton Wanderers
	Wolves	ENG	1	1583.20019531	1951-05-11	1951-05-20	Wolverhampton Wanderers
	Wolves	ENG	1	1586.20019531	1951-05-21	1951-08-18	Wolverhampton Wanderers
	Wolves	ENG	1	1585.94116211	1951-08-19	1951-08-22	Wolverhampton Wanderers
	Wolves	ENG	1	1575.99560547	1951-08-23	1951-08-25	Wolverhampton Wanderers
	Wolves	ENG	1	1582.69604492	1951-08-26	1951-08-29	Wolverhampton Wanderers
	Wolves	ENG	1	1596.69604492	1951-08-30	1951-09-01	Wolverhampton Wanderers
	Wolves	ENG	1	1592.98742676	1951-09-02	1951-09-08	Wolverhampton Wanderers
	Wolves	ENG	1	1598.2890625	1951-09-09	1951-09-15	Wolverhampton Wanderers
	Wolves	ENG	1	1610.3996582	1951-09-16	1951-09-22	Wolverhampton Wanderers
	Wolves	ENG	1	1615.10009766	1951-09-23	1951-09-29	Wolverhampton Wanderers
	Wolves	ENG	1	1635.29772949	1951-09-30	1951-10-06	Wolverhampton Wanderers
	Wolves	ENG	1	1620.36303711	1951-10-07	1951-10-13	Wolverhampton Wanderers
	Wolves	ENG	1	1630.16235352	1951-10-14	1951-10-20	Wolverhampton Wanderers
	Wolves	ENG	1	1622.03356934	1951-10-21	1951-10-21	Wolverhampton Wanderers
	Wolves	ENG	1	1614.03356934	1951-10-22	1951-10-27	Wolverhampton Wanderers
	Wolves	ENG	1	1602.68249512	1951-10-28	1951-11-03	Wolverhampton Wanderers
	Wolves	ENG	1	1597.05041504	1951-11-04	1951-11-10	Wolverhampton Wanderers
	Wolves	ENG	1	1578.46203613	1951-11-11	1951-11-17	Wolverhampton Wanderers
	Wolves	ENG	1	1583.08825684	1951-11-18	1951-11-24	Wolverhampton Wanderers
	Wolves	ENG	1	1580.11035156	1951-11-25	1951-12-01	Wolverhampton Wanderers
	Wolves	ENG	1	1574.88964844	1951-12-02	1951-12-08	Wolverhampton Wanderers
	Wolves	ENG	1	1583.12329102	1951-12-09	1951-12-15	Wolverhampton Wanderers
	Wolves	ENG	1	1578.30126953	1951-12-16	1951-12-22	Wolverhampton Wanderers
	Wolves	ENG	1	1582.47619629	1951-12-23	1951-12-25	Wolverhampton Wanderers
	Wolves	ENG	1	1584.91186523	1951-12-26	1951-12-26	Wolverhampton Wanderers
	Wolves	ENG	1	1574.69714355	1951-12-27	1951-12-29	Wolverhampton Wanderers
	Wolves	ENG	1	1584.86352539	1951-12-30	1952-01-01	Wolverhampton Wanderers
	Wolves	ENG	1	1586.78564453	1952-01-02	1952-01-05	Wolverhampton Wanderers
	Wolves	ENG	1	1589.50219727	1952-01-06	1952-01-19	Wolverhampton Wanderers
	Wolves	ENG	1	1588.7902832	1952-01-20	1952-01-26	Wolverhampton Wanderers
	Wolves	ENG	1	1596.58422852	1952-01-27	1952-02-09	Wolverhampton Wanderers
	Wolves	ENG	1	1590.60168457	1952-02-10	1952-02-16	Wolverhampton Wanderers
	Wolves	ENG	1	1601.94433594	1952-02-17	1952-02-23	Wolverhampton Wanderers
	Wolves	ENG	1	1583.0703125	1952-02-24	1952-03-01	Wolverhampton Wanderers
	Wolves	ENG	1	1585.26025391	1952-03-02	1952-03-08	Wolverhampton Wanderers
	Wolves	ENG	1	1591.61462402	1952-03-09	1952-03-15	Wolverhampton Wanderers
	Wolves	ENG	1	1587.36682129	1952-03-16	1952-03-22	Wolverhampton Wanderers
	Wolves	ENG	1	1586.68847656	1952-03-23	1952-03-29	Wolverhampton Wanderers
	Wolves	ENG	1	1577.4197998	1952-03-30	1952-04-05	Wolverhampton Wanderers
	Wolves	ENG	1	1566.82397461	1952-04-06	1952-04-06	Wolverhampton Wanderers
	Wolves	ENG	1	1590.82397461	1952-04-07	1952-04-12	Wolverhampton Wanderers
	Wolves	ENG	1	1585.78662109	1952-04-13	1952-04-14	Wolverhampton Wanderers
	Wolves	ENG	1	1580.03979492	1952-04-15	1952-04-15	Wolverhampton Wanderers
	Wolves	ENG	1	1561.54675293	1952-04-16	1952-04-19	Wolverhampton Wanderers
	Wolves	ENG	1	1556.94287109	1952-04-20	1952-04-26	Wolverhampton Wanderers
	Wolves	ENG	1	1546.8840332	1952-04-27	1952-05-21	Wolverhampton Wanderers
	Wolves	ENG	1	1549.8840332	1952-05-22	1952-05-31	Wolverhampton Wanderers
	Wolves	ENG	1	1570.8840332	1952-06-01	1952-08-23	Wolverhampton Wanderers
	Wolves	ENG	1	1574.4732666	1952-08-24	1952-08-25	Wolverhampton Wanderers
	Wolves	ENG	1	1584.10986328	1952-08-26	1952-08-30	Wolverhampton Wanderers
	Wolves	ENG	1	1587.51647949	1952-08-31	1952-09-01	Wolverhampton Wanderers
	Wolves	ENG	1	1583.28393555	1952-09-02	1952-09-06	Wolverhampton Wanderers
	Wolves	ENG	1	1583.64123535	1952-09-07	1952-09-08	Wolverhampton Wanderers
	Wolves	ENG	1	1589.7824707	1952-09-09	1952-09-13	Wolverhampton Wanderers
	Wolves	ENG	1	1598.8626709	1952-09-14	1952-09-15	Wolverhampton Wanderers
	Wolves	ENG	1	1609.54211426	1952-09-16	1952-09-20	Wolverhampton Wanderers
	Wolves	ENG	1	1595.2298584	1952-09-21	1952-09-27	Wolverhampton Wanderers
	Wolves	ENG	1	1605.09924316	1952-09-28	1952-10-04	Wolverhampton Wanderers
	Wolves	ENG	1	1621.41430664	1952-10-05	1952-10-05	Wolverhampton Wanderers
	Wolves	ENG	1	1606.41430664	1952-10-06	1952-10-11	Wolverhampton Wanderers
	Wolves	ENG	1	1613.6418457	1952-10-12	1952-10-18	Wolverhampton Wanderers
	Wolves	ENG	1	1616.98010254	1952-10-19	1952-10-25	Wolverhampton Wanderers
	Wolves	ENG	1	1612.39929199	1952-10-26	1952-11-01	Wolverhampton Wanderers
	Wolves	ENG	1	1607.25598145	1952-11-02	1952-11-08	Wolverhampton Wanderers
	Wolves	ENG	1	1613.3770752	1952-11-09	1952-11-15	Wolverhampton Wanderers
	Wolves	ENG	1	1629.47460938	1952-11-16	1952-11-22	Wolverhampton Wanderers
	Wolves	ENG	1	1615.35437012	1952-11-23	1952-11-27	Wolverhampton Wanderers
	Wolves	ENG	1	1619.35437012	1952-11-28	1952-11-29	Wolverhampton Wanderers
