Team	TeamId	HomeGoalsAve	AwayGoalsAve	HomeGoalsTotal	AwayGoalsTotal	HomeGoalsHalfAve	AwayGoalsHalfAve	HomeGoalsHalfTotal	AwayGoalsHalfTotal	HomeShotsAve	AwayShotsAve	HomeShotsTotal	AwayShotsTotal	HomeShotsOnTargetAve	AwayShotsOnTargetAve	HomeFirstHalfDifferentialAve	AwayFirstHalfDifferentialAve	HomeGameDifferentialAve	AwayGameDifferentialAve	HomeFirstToSecondHalfGoalRatioAve	AwayFirstToSecondHalfGoalRatioAve
Sheffield United	sheffield_united	1.0	0.8421052631578947	19	16	0.3684210526315789	0.3684210526315789	7	7	10.842105263157896	8.526315789473685	206	162	3.789473684210526	3.0	-1.0	-0.42105263157894735	-2.0	-1.631578947368421	-0.5625	0.0
Leicester	leicester	1.263157894736842	1.2982456140350878	72	74	0.631578947368421	0.5614035087719298	36	32	10.947368421052632	9.87719298245614	624	563	4.017543859649122	3.56140350877193	-0.14035087719298245	-0.5087719298245614	-0.21052631578947367	-0.8596491228070176	0.21333333333333332	-0.28160919540229884
West Ham	west_ham	1.4731182795698925	1.202127659574468	137	113	0.7096774193548387	0.5	66	47	12.268817204301076	11.23404255319149	1141	1056	4.086021505376344	3.627659574468085	-0.021505376344086023	-0.23404255319148937	-0.043010752688172046	-0.5212765957446809	0.06296296296296297	-0.15986394557823128
Chelsea	chelsea	1.702127659574468	1.6021505376344085	160	149	0.7872340425531915	0.6989247311827957	74	65	16.127659574468087	12.78494623655914	1516	1189	5.5212765957446805	4.720430107526882	0.3723404255319149	0.03225806451612903	0.5425531914893617	0.25806451612903225	0.36350574712643674	-0.02287581699346404
Crystal Palace	crystal_palace	1.3440860215053763	1.1720430107526882	125	109	0.5483870967741935	0.5053763440860215	51	47	13.096774193548388	10.559139784946236	1218	982	4.290322580645161	3.89247311827957	0.03225806451612903	-0.15053763440860216	0.15053763440860216	-0.27956989247311825	-0.013333333333333338	-0.23404255319148937
Norwich	norwich	0.631578947368421	0.5789473684210527	12	11	0.3684210526315789	0.21052631578947367	7	4	10.68421052631579	9.0	203	171	3.3157894736842106	2.4210526315789473	-0.5789473684210527	-0.631578947368421	-1.631578947368421	-1.5789473684210527	-0.4	-0.4
Luton	luton	1.4736842105263157	1.263157894736842	28	24	0.47368421052631576	0.5789473684210527	9	11	13.894736842105264	8.789473684210526	264	167	4.421052631578948	3.0	-0.47368421052631576	-0.05263157894736842	-0.47368421052631576	-1.263157894736842	-0.5357142857142857	-0.55
Sunderland	sunderland	1.3529411764705883	0.7777777777777778	23	14	0.4117647058823529	0.2777777777777778	7	5	11.352941176470589	8.88888888888889	193	160	3.4705882352941178	3.2222222222222223	-0.058823529411764705	-0.5	0.23529411764705882	-0.7222222222222222	0.20833333333333334	-0.7142857142857143
Southampton	southampton	0.9649122807017544	0.8771929824561403	55	50	0.543859649122807	0.3508771929824561	31	20	11.0	10.789473684210526	627	615	3.9298245614035086	3.491228070175439	-0.19298245614035087	-0.7719298245614035	-0.9298245614035088	-1.1929824561403508	-0.4351851851851852	-0.717391304347826
Liverpool	liverpool	2.3440860215053765	1.9361702127659575	218	182	1.075268817204301	0.7978723404255319	100	75	19.559139784946236	15.893617021276595	1819	1494	6.688172043010753	5.457446808510638	0.7096774193548387	0.1595744680851064	1.5161290322580645	0.6063829787234043	0.4485294117647059	0.08695652173913043
Bournemouth	bournemouth	1.3066666666666666	1.4324324324324325	98	106	0.52	0.581081081081081	39	43	13.96	12.405405405405405	1047	918	4.773333333333333	4.445945945945946	-0.05333333333333334	-0.2972972972972973	0.09333333333333334	-0.527027027027027	0.039473684210526314	0.01136363636363637
Fulham	fulham	1.5810810810810811	1.2133333333333334	117	91	0.7027027027027027	0.4	52	30	13.391891891891891	11.893333333333333	991	892	4.418918918918919	3.973333333333333	0.16216216216216217	-0.30666666666666664	0.20270270270270271	-0.32	0.2441860465116279	-0.1865079365079365
Brighton	brighton	1.5376344086021505	1.5	143	141	0.6774193548387096	0.5851063829787234	63	55	15.688172043010752	12.627659574468085	1459	1187	5.344086021505376	4.73404255319149	0.06451612903225806	-0.18085106382978725	0.3118279569892473	-0.05319148936170213	0.05555555555555555	-0.20182291666666669
Newcastle	newcastle	1.9574468085106382	1.3978494623655915	184	130	0.9042553191489362	0.7741935483870968	85	72	15.585106382978724	11.64516129032258	1465	1083	5.382978723404255	4.161290322580645	0.425531914893617	0.12903225806451613	0.7659574468085106	-0.13978494623655913	0.3649425287356322	0.2260162601626016
Ipswich	ipswich	0.7368421052631579	1.1578947368421053	14	22	0.42105263157894735	0.7368421052631579	8	14	10.947368421052632	8.842105263157896	208	168	3.5789473684210527	3.1052631578947367	-0.7368421052631579	-0.21052631578947367	-1.5789473684210527	-0.8421052631578947	-0.5	-0.25
Aston Villa	aston_villa	1.8297872340425532	1.2150537634408602	172	113	0.8404255319148937	0.4946236559139785	79	46	13.627659574468085	11.193548387096774	1281	1041	4.9787234042553195	3.806451612903226	0.2978723404255319	-0.15053763440860216	0.574468085106383	-0.26881720430107525	0.18032786885245902	0.0784313725490196
Watford	watford	0.8947368421052632	0.8947368421052632	17	17	0.5263157894736842	0.3684210526315789	10	7	11.368421052631579	9.473684210526315	216	180	3.6315789473684212	3.0526315789473686	-0.42105263157894735	-0.631578947368421	-1.5263157894736843	-0.7368421052631579	-0.3333333333333333	-0.5
Wolves	wolves	1.1702127659574468	0.946236559139785	110	88	0.5851063829787234	0.3870967741935484	55	36	11.23404255319149	10.268817204301076	1056	955	4.01063829787234	3.4193548387096775	-0.07446808510638298	-0.3870967741935484	-0.3191489361702128	-0.7526881720430108	-0.09166666666666666	-0.3717948717948718
Burnley	burnley	0.9454545454545454	1.0357142857142858	52	58	0.41818181818181815	0.48214285714285715	23	27	11.963636363636363	8.946428571428571	658	501	3.5454545454545454	3.142857142857143	-0.5454545454545454	-0.32142857142857145	-0.7636363636363637	-0.8928571428571429	-0.5579710144927537	-0.40384615384615385
Nott'm Forest	nottm_forest	1.3243243243243243	1.2133333333333334	98	91	0.6351351351351351	0.5866666666666667	47	44	12.635135135135135	10.4	935	780	3.972972972972973	3.72	0.20270270270270271	-0.29333333333333333	0.0945945945945946	-0.6	0.02857142857142857	0.013513513513513514
Brentford	brentford	1.6702127659574468	1.3225806451612903	157	123	0.7446808510638298	0.5591397849462365	70	52	12.553191489361701	10.204301075268818	1180	949	4.691489361702128	3.989247311827957	0.1595744680851064	-0.20430107526881722	0.3191489361702128	-0.21505376344086022	0.23214285714285715	-0.1232638888888889
Man United	man_united	1.6808510638297873	1.3010752688172043	158	121	0.6702127659574468	0.5161290322580645	63	48	16.29787234042553	12.795698924731182	1532	1190	5.808510638297872	4.537634408602151	0.1595744680851064	-0.10752688172043011	0.5106382978723404	-0.3118279569892473	0.20833333333333331	0.022435897435897436
Everton	everton	1.2340425531914894	0.9354838709677419	116	87	0.5106382978723404	0.44086021505376344	48	41	12.627659574468085	10.548387096774194	1187	981	4.425531914893617	3.3440860215053765	0.0425531914893617	-0.3010752688172043	-0.010638297872340425	-0.6236559139784946	0.05555555555555555	-0.3076923076923077
Man City	man_city	2.717391304347826	1.9148936170212767	250	180	1.4456521739130435	0.8297872340425532	133	78	17.565217391304348	16.21276595744681	1616	1524	6.434782608695652	5.946808510638298	1.0108695652173914	0.5	1.815217391304348	1.0	0.7698412698412699	0.37158469945355194
Arsenal	arsenal	2.24468085106383	1.7741935483870968	211	165	0.9574468085106383	0.9354838709677419	90	87	17.648936170212767	13.258064516129032	1659	1233	5.98936170212766	4.56989247311828	0.648936170212766	0.46236559139784944	1.3297872340425532	0.7634408602150538	0.36666666666666664	0.3627450980392157
Tottenham	tottenham	1.8064516129032258	1.6382978723404256	168	154	0.7204301075268817	0.723404255319149	67	68	14.473118279569892	12.063829787234043	1346	1134	5.387096774193548	4.617021276595745	-0.010752688172043012	-0.0425531914893617	0.34408602150537637	0.07446808510638298	0.0013661202185792374	-0.22875816993464052
Leeds	leeds	1.3035714285714286	1.1636363636363636	73	64	0.6071428571428571	0.4909090909090909	34	27	14.0	11.145454545454545	784	613	4.232142857142857	3.727272727272727	-0.03571428571428571	-0.32727272727272727	-0.4107142857142857	-0.8909090909090909	0.02150537634408603	-0.28205128205128205
