Feature,Importance,Std
SKBCA,0.0,0.0
SKBCD,0.0,0.0
BVD,0.0,0.0
BVA,0.0,0.0
CLH,0.0,0.0
CLD,0.0,0.0
CLA,0.0,0.0
Ladbrokes_HomeWinOdds,0.0,0.0
BVCH,0.0,0.0
BVCD,0.0,0.0
BVCA,0.0,0.0
CLCH,0.0,0.0
CLCD,0.0,0.0
CLCA,0.0,0.0
LBCH,0.0,0.0
LBCD,0.0,0.0
Ladbrokes_DrawOdds,0.0,0.0
Ladbrokes_AwayWinOdds,0.0,0.0
BFDCH,0.0,0.0
BFDCD,0.0,0.0
BFDCA,0.0,0.0
BMGMCH,0.0,0.0
BMGMCD,0.0,0.0
BMGMCA,0.0,0.0
AwayElo,0.0,0.0
AwayWinStreakAway_L5,0.0,0.0
HomeElo,0.0,0.0
HomeInjuryCount,0.0,0.0
AwayInjuryCount,0.0,0.0
AwayGoalDiffSeason,-1.1102230246251566e-17,0.008906057845612466
HomeManagerTacticalFlexibility,-0.0016260162601625995,0.0032520325203251993
Home_Poisson_2_3_Goals_Avg_L5,-0.0016260162601625995,0.0032520325203251993
HomeFailedToScorePct_L10,-0.0016260162601625995,0.0032520325203251993
ManagerTacticalFlexibilityDiff,-0.0016260162601625995,0.0032520325203251993
AwayXGA_Understat_L5,-0.0016260162601625995,0.0032520325203251993
AwayManagerDefensiveSolidity,-0.0016260162601625995,0.006083995750851929
BFE>2.5,-0.0016260162601625995,0.0032520325203251993
AvgCAHA,-0.0016260162601625995,0.006083995750851929
HomeMomentum_L3,-0.0016260162601625995,0.0032520325203251993
HomexG_Avg_L5,-0.0016260162601625995,0.0032520325203251993
PCAHA,-0.0016260162601625995,0.0032520325203251993
BFA,-0.0016260162601625995,0.006083995750851929
BetWin_HomeWinOdds,-0.0016260162601625995,0.0032520325203251993
Pinnacle_HomeWinOdds,-0.0016260162601625995,0.0032520325203251993
Avg<2.5,-0.0016260162601625995,0.0032520325203251993
PAHA,-0.0016260162601625995,0.0032520325203251993
P<2.5,-0.0016260162601625995,0.0032520325203251993
Bet365_Over2_5GoalsOdds,-0.0016260162601625995,0.0032520325203251993
PCAHH,-0.0016260162601625995,0.0032520325203251993
BFECD,-0.0016260162601626105,0.007965820301733921
Bet365_Under2_5GoalsOdds,-0.003252032520325199,0.003982910150866951
MaxAHH,-0.003252032520325199,0.003982910150866951
B365CAHA,-0.003252032520325199,0.003982910150866951
AvgC<2.5,-0.003252032520325199,0.003982910150866951
MaxCAHH,-0.003252032520325199,0.003982910150866951
BFECAHH,-0.003252032520325199,0.006504065040650398
Home_Poisson_xPTS_Avg_L5,-0.003252032520325199,0.009756097560975596
HomeWinStreakHome_L5,-0.003252032520325199,0.003982910150866951
HomePointsPerGame,-0.003252032520325199,0.003982910150866951
AvgC>2.5,-0.004878048780487798,0.003982910150866951
P>2.5,-0.004878048780487798,0.003982910150866951
BFEH,-0.004878048780487798,0.003982910150866951
ManagerGoalsPerGameDiff,-0.004878048780487798,0.003982910150866951
HomeRestDays,-0.004878048780487809,0.006504065040650417
AvgAHH,-0.004878048780487809,0.006504065040650417
HomeShootingEff_Avg_L5,-0.004878048780487809,0.01320981854412351
AwayxG_Avg_L5,-0.004878048780487809,0.008291088639988271
Bet365_MarketMargin,-0.004878048780487809,0.015079054464220656
AwayFailedToScorePct_L10,-0.004878048780487809,0.006504065040650417
AvgCH,-0.0048780487804878205,0.012167991501703878
HomeDefVsAwayAttack,-0.008130081300813007,0.005141914894582741
MaxAHA,-0.00813008130081302,0.007271765780487135
Bet365_Value_Home,-0.00813008130081302,0.021200658228301292
Bet365_Value_Draw,-0.00813008130081302,0.008906057845612464
AvgCA,-0.00813008130081303,0.01705380240927076
Away_Poisson_4Plus_Goals_Avg_L5,-0.009756097560975608,0.003252032520325221
AwayXG_Understat_L5,-0.009756097560975618,0.0060839957508519536
Bet365_HomeVsDraw_Ratio,-0.009756097560975618,0.0060839957508519536
HomeGoalDiff_Avg_L5,-0.009756097560975618,0.006083995750851952
ManagerWinRateDiff,-0.009756097560975618,0.006083995750851953
Away_Poisson_1_Goal_Avg_L5,-0.011382113821138217,0.01102817883435004
Bet365_AH_HomeOdds,-0.01138211382113823,0.009756097560975622
BFECA,-0.013008130081300816,0.006504065040650422
BetWin_AwayWinOdds,-0.013008130081300829,0.003982910150866978
ManagerAttackingAdvantage,-0.013008130081300829,0.00829108863998828
Max_HomeWinOdds,-0.013008130081300829,0.003982910150866978
WindSpeed,-0.022764227642276424,0.01951219512195122
BFEAHH,-0.027642276422764244,0.003982910150866951
